GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
BSU06320-MONOMER	plasma membrane	TRANS-RXN0-487	MN+2	MN+2	1.0	0.0
BSU06660-MONOMER	plasma membrane	TRANS-RXN8J2-27	PRO,NA+	PRO,NA+	1.0	0.0
BSU07570-MONOMER	plasma membrane	TRANS-RXN8J2-28	2-KETOGLUTARATE	2-KETOGLUTARATE	1.0	0.0
BSU07700-MONOMER	plasma membrane	TRANS-RXN8J2-110	N-acetyl-D-glucosamine,PHOSPHO-ENOL-PYRUVATE	N-ACETYL-D-GLUCOSAMINE-6-P,PYRUVATE	1.0	0.0
BSU07800-MONOMER	plasma membrane	TRANS-RXN8J2-105	TREHALOSE,PHOSPHO-ENOL-PYRUVATE	TREHALOSE-6P,PYRUVATE	1.0	0.0
BSU08200-MONOMER	plasma membrane	TRANS-RXN8J2-111	MALTOSE,PHOSPHO-ENOL-PYRUVATE	CPD-1244,PYRUVATE	1.0	0.0
BSU09280-MONOMER	plasma membrane	TRANS-RXN8J2-34	GLYCEROL	GLYCEROL	1.0	0.0
BSU09850-MONOMER	plasma membrane	TRANS-RXN-42	PROTON,K+	PROTON,K+	1.0	0.0
BSU12010-MONOMER	plasma membrane	TRANS-RXN8J2-106	MANNOSE,PHOSPHO-ENOL-PYRUVATE	MANNOSE-6P,PYRUVATE	1.0	0.0
BSU13300-MONOMER	plasma membrane	TRANS-RXN-141	MG+2	MG+2	1.0	0.0
BSU13890-MONOMER	plasma membrane	TRANS-RXN8J2-107	GLC,PHOSPHO-ENOL-PYRUVATE	GLC-6-P,PYRUVATE	1.0	0.0
BSU14400-MONOMER	plasma membrane	RXN-15084	Hpr-pi-phospho-L-histidines,FRU	D-fructose-1-phosphate,Hpr-Histidine	1.0	0.0
BSU16825-MONOMER	plasma membrane	TRANS-RXN8J2-101	Antibiotics,PROTON	Antibiotics,PROTON	1.0	0.0
BSU23050-MONOMER	plasma membrane	TRANS-RXN8J2-1	RIBOFLAVIN,PROTON	RIBOFLAVIN,PROTON	1.0	0.0
BSU30720-MONOMER	plasma membrane	CYT-UBIQUINOL-OXID-RXN	CPD-9956,OXYGEN-MOLECULE	UBIQUINONE-8,WATER	1.0	0.0
BSU30720-MONOMER	plasma membrane	RXN0-5266	OXYGEN-MOLECULE,PROTON,Ubiquinols	WATER,Ubiquinones,PROTON	1.0	0.0
BSU31580-MONOMER	plasma membrane	TRANS-RXN8J2-103	MAL,NA+	MAL,NA+	1.0	0.0
BSU34820-MONOMER	plasma membrane	3.6.3.44-RXN	Xenobiotic,WATER,ATP	Xenobiotic,Pi,ADP	1.0	0.0
